m1i,m2i,n1i,n2i,sd1i,sd2i,tobs,pval
5.802,5.376,26,28,0.76,0.79,2.016,0.048938933
4.01047619,3.25,21,22,0.725324073,1.725659294,1.867,0.069009959
7.264,6.3,30,30,1.578,1.334,2.554,0.013290181
0,-0.4225,50,50,1,1,2.113,0.037185299
6.97,6.09,50,50,2.03,1.63,2.39,0.018753704
91.94,78.45,30,30,25.86,25.3,2.042,0.045671472
97.3,77.8,20,20,29.4,25.4,2.245,0.030698743
5.27,4.21,22,28,1.28,2.1,2.081,0.042820851
0.626,0,25,24,1,1,2.191,0.033479881
4.05,3.4,20,20,0.85,0.94,2.294,0.027426661
7.2889,6.3636,45,45,1.1001,1.713,3.049,0.00303317
2.57,1.78,15,15,1.24,0.87,2.02,0.053056353
1.81,1.33,27,27,0.91,0.69,2.184,0.033496281
1.61,1.24,26,25,0.72,0.36,2.307,0.025350877
2.71,1.96,35,36,1.57,1.14,2.308,0.023996729
5.32,4.75,20,20,0.63,0.46,3.268,0.002303491
6.34,5.82,25.5,25.5,0.79,0.82,2.306,0.025373586
6.29,5.76,31,31,0.7,1.09,2.278,0.026304534
6.35,5.96,48.5,48.5,0.9,0.97,2.053,0.042861332
3.98,2.9,30,30,1.76,1.65,2.452,0.017238337
0.27,0.21,31,31,0.1,0.12,2.139,0.036545421
6.39,5.67,18,18,0.61,1.19,2.284,0.028716455
7.1048,6.2857,35,35,1.43889,1.43806,2.382,0.020019054
0,-0.4515,39,39,1,1,1.994,0.049765238
0,-0.5658,40,40,1,1,2.53,0.013409199
